Position,Artist,Song Title,Year,Lyrics
78,Fine Young Cannibals,She Drives Me Crazy,1989,"I can't stop the way I feel
Things you do don't seem real

Tell me what you've got in mind
'Cause we're runnin' out of time
Won't you ever set me free?
This waiting 'round's killing me

She drives me crazy
Like no one else
She drives me crazy
And I can't help myself

I can't get any rest
People say I'm obsessed

Everything you say is lies
But to me there's no surprise
What I had for you was true
Things go wrong, they always do

She drives me crazy
Like no one else
She drives me crazy
And I can't help myself

I won't make it on my own
No one likes to be alone

She drives me crazy
Like no one else
She drives me crazy
And I can't help myself

She drives me crazy
Like no one else
She drives me crazy
And I can't help myself

She drives me crazy
Like no one else
She drives me crazy
And I can't help myself"
79,The Bangles,Eternal Flame,1989,"Close your eyes, give me your hand, darling
Do you feel my heart beating? Do you understand?
Do you feel the same? Am I only dreaming?
Is this burning an eternal flame?

I believe it's meant to be, darling
I watch you when you are sleeping, you belong with me
Do you feel the same? Am I only dreaming?
Or is this burning an eternal flame?

Say my name, sun shines through the rain
A whole life, so lonely
Then come and ease the pain
I don't want to lose this feeling

Say my name, sun shines through the rain
A whole life, so lonely
Then come and ease the pain
I don't want to lose this feeling

Close your eyes, give me your hand
Do you feel my heart beating? Do you understand?
Do you feel the same? Am I only dreaming?
Or is this burning an eternal flame?

Close your eyes, give me your hand, darling
Do you feel my heart beating? Do you understand?
Do you feel the same? Am I only dreaming?
Is this burning an eternal flame?

Close your eyes, give me your hand
Do you feel my heart beating? Do you understand?
Do you feel the same? Am I only dreaming?
An eternal flame?

Close your eyes, give me your hand
Do you feel my heart beating? Do you understand?
Do you feel the same? Am I only dreaming?
Is this burning an eternal flame?"
80,Billy Ocean,Get Outta My Dreams Get Into My Car,1988,"Hey you, get into my car
Who me?
Yes you, get into my car
Yeah!

Who's that lady coming down the road?
Who's that lady?
Who's that woman walking through my door?
What's the score?

I'll be the sun, shining on you
Hey Cinderella, step in your shoe
I'll be your non stop lover, get it while you can
Your non stop miracle, I'm your man

Get out of my dreams, get into my car
Get out of my dreams, get in the back seat baby
Get into my car
Get out of my mind, get into my life
Oh I said,""Hey you, get into my car""
Oh baby

Lady driver, let me take your wheel
Smooth operator, touch my bumper
Hey, let's make a deal
Make it real

Like a road runner, coming after you
Just like a hero, outta the blue
I'll be your non stop lover, get it while you can
Your non stop miracle, I'm your man

Get out of my dreams, get into my car
Get out of my dreams, get in the back seat baby
Get into my car
Get out of my mind, get into my life
Oh I said,""Hey you, get into my car""
Oh baby, let's go

I said,""Open the door, get in the back""
Tread on the floor, get on the track
Yeah, yeah, yeah, yeah
Let's go, oh baby, yeah

I'll be the sun, shining on you
Hey Cinderella, step in your shoe
I'll be your non stop lover, get it while you can
Your non stop miracle, I'm your man

Get out of my, get out of my dreams, get into my car
Get out of my dreams, get in the back seat baby
Get into my car
Get out of my mind, get into my life
Oh I said,""Hey you, get into my
Hey you, get into my
Hey you, get into my car"""
81,Kool & The Gang,Celebration,1981,"Yahoo!
Celebration
Yahoo!
This is your celebration

Celebrate good times, come on!
(Let's celebrate)
Celebrate good times, come on!
(Let's celebrate)

There's a party goin' on right here
A celebration to last throughout the years
So bring your good times and your laughter too
We gonna celebrate your party with you

Come on now, celebration
Let's all celebrate and have a good time
Celebration
We gonna celebrate and have a good time

It's time to come together
It's up to you, what's your pleasure?
Everyone around the world come on!

Yahoo!
It's a celebration
Yahoo!

Celebrate good times, come on!
(It's a celebration)
Celebrate good times, come on!
(Let's celebrate)

There's a party goin' on right here
A dedication to last throughout the years
So bring your good times and your laughter too
We gonna celebrate and party with you

Come on now, celebration
Let's all celebrate and have a good time, yeah yeah
Celebration
We gonna celebrate and have a good time

It's time to come together
It's up to you, what's your pleasure?
Everyone around the world come on!

Yahoo!
It's a celebration
Yahoo!
It's a celebration

Celebrate good times, come on!
(Let's celebrate come on now)
Celebrate good times, come on!
(Let's celebrate)

We're gonna have a good time tonight
Let's celebrate, it's all right
We're gonna have a good time tonight
Let's celebrate, it's all right, baby

We're gonna have a good time tonight
  (Celebration)
Let's celebrate, it's all right
We're gonna have a good time tonight
  (Celebration)
Let's celebrate, it's all right

Yahoo!
Yahoo!

Celebrate good times, come on!
(Let's celebrate)
Celebrate good times, come on!
(It's a celebration)

Celebrate good times, come on!
(Let's celebrate)
(Come on and celebrate tonight)
Celebrate good times, come on!
  ('Cause everything's gonna be alright, let's celebrate)

Celebrate good times, come on!
(Let's celebrate)
Celebrate good times, come on!"
82,Tears For Fears,Everybody Wants to Rule the World,1985,"Welcome to your life, there's no turning back
Even while we sleep we will find you

Acting on your best behavior
Turn your back on Mother Nature
Everybody wants to rule the world

It's my own design, it's my own remorse
Help me to decide, help me make the most

Of freedom and of pleasure
Nothing ever lasts forever
Everybody wants to rule the world

There's a room where the light won't find you
Holding hands while the walls come tumbling down
When they do I'll be right behind you

So glad we've almost made it
So sad they had to fade it
Everybody wants to rule the world

I can't stand this indecision
Married with a lack of vision
Everybody wants to rule the world

Say that you'll never, never, never, never need it
One headline, why believe it?
Everybody wants to rule the world

All for freedom and for pleasure
Nothing ever lasts forever
Everybody wants to rule the world"
83,Richard Marx,Right Here Waiting,1989,"Oceans apart day after day
And I slowly go insane
I hear your voice on the line
But it doesn't stop the pain

If I see you next to never
Then how can we say forever?

Wherever you go, whatever you do
I will be right here waiting for you
Whatever it takes or how my heart breaks
I will be right here waiting for you

I took for granted all the times
That I thought would last somehow
I hear the laughter, I taste the tears
But I can't get near you now

Oh, can't you see it baby?
You've got me goin' crazy

Wherever you go, whatever you do
I will be right here waiting for you
Whatever it takes or how my heart breaks
I will be right here waiting for you

I wonder how we can survive
This romance
But in the end if I'm with you
I'll take the chance

Oh, can't you see it baby?
You've got me goin' crazy

Wherever you go, whatever you do
I will be right here waiting for you
Whatever it takes or how my heart breaks
I will be right here waiting for you

Waiting for you"
84,Olivia Newton-John,Xanadu,1980,"Exception occurred 
HTTP Error 404: Not Found"
85,The Eurythmics,Sweet Dreams (Are Made of This),1983,"Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.
Everybody's looking for something.

Some of them want to use you.
Some of them want to get used by you.
Some of them want to abuse you.
Some of them want to be abused.

aaaaaa

Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.
Everybody's looking for something

aaaaaaa

Hold your head up, movin' on.
Keep your head up, movin' on.
Hold your head up, movin' on.
Keep your head up, movin' on.
Hold your head up, movin' on.
Keep your head up, movin' on.
Hold your head up, movin' on.
Keep your head up, movin' on.
Hold your head up, movin' on.
Keep your head up, movin' on.

Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.
Everybody's looking for something.

Some of them want to use you.
Some of them want to get used by you.
Some of them want to abuse you.
Some of them want to be abused

aaaaaaa

Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.
Everybody's looking for something.

Some of them want to use you.
Some of them want to get used by you.
Some of them want to abuse you.
Some of them want to be abused

Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.
Everybody's looking for something.

Sweet dreams are made of these.
Who am I to disagree?
Travel the world and the seven seas.

Everybody's looking for something."
86,Jive Bunny & The Mastermixers,Swing the Mood,1989,"C'mon everybody, 
CCC'mon everybody
1-2
1-2
1-1-1-1-2-3-o'clock
4 o'clock rock
5-6-7- o'clock
8 o'clock rock
9-10-11 o'clock
12 o'clock rock
We're gonna rock around the clock tonight
Well, if you like my song join me oh
We'll have some fun while the clock straights one, 
We're gonna rock, around the clock tonight
We're gonna rock, rock, rock, til' the broad daylight
We're gonna rock, gonna rocking around the clock tonight
Rock-Rock, Rock, Rock everybody
Roll, roll, roll, everybody
Rock, rock, rock, everybody
Roll, roll, roll, everybody
Rock, rock, rock, everybody
Rocking to the groove with me
Wham, wham, wham, wham, bam, babaluma
Whan, wham, bam, babaluma
Wham, bam, babaluma
Balan, bam, bam, bam
(Wey) bam (wey) bam (wey-wey-wey-wey-wey) bam
(Wey-wey-wey-wey-weyy)
Wake up little Susie, wake up, 
Wake up little Susie, wake up
We've both been sound asleep
Wake up little Susie and weep 
The movie's over
It's 4 o'clock and we're in trouble deep
Wake up little Susie, wake up little Susie
We gotta go home
Wooh-wooh-wooh-wooh-wooh-wooh-wooh
You ain't nothing but a hound dog
You're crying all the time
You ain't nothing but a hound dog
Crying all the time
We'll you ain't ever caught a rabbit and you ain't
No friend of mine
Shake, shake, shake, shake, rattle and roll I said
Shake, rattle and roll, I said
Shake, rattle and roll, I said
Shake, rattle and roll
Oh with the bless of my soul, 
What's wrong with me?, 
I met you like a man on a fuzzy tree
My friend said I'm acting too wild as a bug, 
I'm in love, I'm all shook up
I once threw a party in the county jail
The prison band was here
They began to wail
The band was jumpin' and they jumped again and began to swing
You should've heard the knock that jailbird sing
Let's rock, everybody let's rock everybody
Everybody in the old cell block
Was dancin' to the jailhouse rock
Ah ah ah ah
Wah ah ah ah
Rah ah ah ah
Dah ah ah ah
Now's the hop, hop, hop, hop, hop
Wham, wham, wham, wham, bam, babaluma
Whan, wham, bam, babaluma
Wham, bam, babaluma
Balan, bam, bam, bam
"
87,Madonna,Who's That Girl?,1987,"Who's that girl?
who's that girl?

When you see her, say a prayer and kiss your heart goodbye
She's trouble, in a word get closer to the fire
Run faster, her laughter burns you up inside
You're spinning round and round
You can't get up, you try but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

You try to avoid her, fate is in your hands
She's smiling, an invitation to the dance
Her heart is on the street, tu corazón es suyo
Now you're falling at her feet
You try to get away but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

Light up my life, so blind I can't see
Light up my life, no one can help me now

Run faster, her laughter burns you up inside
You're spinning round and round
You can't get up, you try but you can't

Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?

Light up my life, so blind I can't see
Light up my life, no one can help me now

Who's that girl
Now, who's that girl?
Now, who's that girl?
Now, who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl?
Quién es esa niña?
who's that girl?
Señorita, más fina
who's that girl."
88,Musical Youth,Pass the Dutchie,1982,"This generation
Rules the nation
With version

Music happen to be the food of love
Sounds to really make you rub and scrub
(Dum dum ba dum biddly biddly biddly biddly bum)
I say, pass the Dutchie pon the left hand side
Pass the Dutchie pon the left hand side

It a gonna burn
(Give me music, make me jump and prance)
It a go done
(Give me the music, make me rock in the dance)
It was a cool and lovely breezy afternoon
(How does it feel when you've got no food?)
You could feel it 'cause it was the month of June
(How does it feel when you've got no food?)

So I left my gate and went out for a walk
(How does it feel when you've got no food?)
As I pass the dreadlocks' camp I heard them say
(How does it feel when you've got no food?)
Pass the Dutchie pon the left hand side
(I say)

Pass the Dutchie pon the left hand side
It a gonna burn
(Give me music, make me jump and prance)
It a go done
(Give me the music, make me rock in the dance)
Dum
So I stopped to find out what was going on
(How does it feel when you've got no food?)

'Cause the spirit of Jah, you know, He leads you on
(How does it feel when you've got no food?)
There was a ring of dreads and a session was there in swing
(How does it feel when you've got no food?)
You could feel the chill as I seen and heard them say
(How does it feel when you've got no food?)

Pass the Dutchie pon the left hand side
(I say)
Pass the Dutchie pon the left hand side
It a gonna burn

(Give me music, make me jump and prance)
It a go done
(Give me the music, make me rock in the dance)
'Cause me say listen to the drum, a me say listen to the bass
Give me little music, make me wind up me waist
Me say listen to the drum, a me say listen to the bass

Give me little music, make me wind up me waist
(I say)
Pass the Dutchie pon the left hand side
(I say)

Pass the Dutchie pon the left hand side
It a gonna burn
(Give me music, make me jump and prance)
It a go done
(Give me the music, make me rock in the dance)
You play it on the radio

A so me say, we a go hear it on the stereo
A so me know we a go play it on the disco
A so me say we a go hear it on the stereo
Pass the Dutchie pon the left hand side
(I say)
Pass the Dutchie pon the left hand side
It a gonna burn
(Give me music, make me jump and prance)
It a go done
(Give me the music, make me rock in the dance)
On the left hand side
(I say)
On the left hand side
(I say)
On the left hand side

On the left hand side

On the left hand side
(I say east, say west, say north and south)
On the left hand side
(This is gonna really make us jump and shout)
On the left hand side
(I say east, say west, say north and south)
On the left hand side
(This is gonna really make us jump and shout)
Pass the Dutchie pon the left hand side
(I say)
Pass the Dutchie"
89,Chicago,Hard to Say I'm Sorry,1982,We do not have the lyrics for Hard to Say I'm Sorry yet.
90,Joe Cocker,Up Where We Belong,1982,"Who knows what tomorrow brings
In a world few hearts survive?
All I know is the way I feel
When it's real, I keep it alive

The road is long
There are mountains in our way
But we climb a step every day

Love lift us up where we belong
Where the eagles cry
On a mountain high

Love lift us up where we belong
Far from the world below
Up where the clear winds blow

Some hang on to, 'used to be'
Live their lives looking behind
All we have is here and now
All our life out there to find

The road is long
There are mountains in our way
But we climb a step every day

Love lift us up where we belong
Where the eagles cry
On a mountain high

Love lift us up where we belong
Far from the world we know
Where the clear wind blows

Time goes by, no time to cry
Life's you and I, a life today

Love lift us up where we belong
Where the eagles cry
On a mountain high

Love lift us up where we belong
Far from the world we know
Where the clear winds blow

Love lift us up where we belong
Where the eagles cry
On a mountain high
Love lift us up where we belong"
91,Dire Straits,Money For Nothing,1985,"Now look at them yo-yo's that's the way you do it
You play the guitar on the MTV
That ain't workin' that's the way you do it
Money for nothin' and chicks for free
Now that ain't workin' that's the way you do it
Lemme tell ya them guys ain't dumb
Maybe get a blister on your little finger
Maybe get a blister on your thumb

We gotta install microwave ovens
Custom kitchen deliveries
We gotta move these refrigerators
We gotta move these color TV's

See the little faggot with the earring and the make-up
Yeah buddy that's his own hair
That little faggot got his own jet airplane
That little faggot he's millionaire

We gotta install microwave ovens
Custom kitchen deliveries
We gotta move these refrigerators
We gotta move these color TV's

I shoulda' learned to play the guitar
I shoulda' learned to play them drums
Look at that mama, she got it stickin' in the camera
Man we could have some fun
And he's up there, what's that ? Hawaiian noises ?
Bangin' on the bongos like a chimpanzee
That ain't workin' that's the way you do it
Get your money for nothin' get your chicks for free

We gotta install ovens
Custom kitchen deliveries
We gotta move these refrigerators
We gotta move these color TV's, Lord

Now that ain't workin' that's the way you do it
You play the guitar on the MTV
That ain't workin' that's the way you do it
Money for nothin' get your chicks for free
Money for nothin' get chicks for free"
92,Abba,The Winner Takes it All,1980,"I don't wanna talk about the things we've gone through
Though it's hurting me, now it's history
I've played all my cards and that's what you've done too
Nothing more to say, no more ace to play

The winner takes it all, the loser standing small
Beside the victory that's her destiny

I was in your arms thinking I belonged there
I figured it made sense building me a fence
Building me a home thinking I'd be strong there
But I was a fool playing by the rules

The Gods may throw a dice, their minds as cold as ice
And someone way down here loses someone dear
The winner takes it all, the loser has to fall
It's simple and it's plain, why should I complain

But tell me does she kiss like I used to kiss you
Does it feel the same, when she calls your name
Somewhere deep inside you must know I miss you
But what can I say rules must be obeyed

The judges will decide, the likes of me abide
Spectators of the show always staying low
The game is on again, a lover or a friend
A big thing or a small the winner takes it all

I don't wanna talk if it makes you feel sad
And I understand you've come to shake my hand
I apologize if it makes you feel bad
Seeing me so tense, no self-confidence

But you see the winner takes it all
The winner takes it all
So the winner takes it all and the loser has to fall
Throw a dice, cold as ice
Way down here, someone dear
Takes it all, has to fall
Yes it's plain, no complain"
93,Chris de Burgh,The Lady in Red,1986,"I've never seen you looking so lovely as you did tonight
I've never seen you shine so bright
I've never seen so many men ask you if you wanted to dance
They're looking for a little romance, given half a chance
And I have never seen that dress you're wearing
Or the highlights in your hair that catch your eyes
I have been blind

The lady in red is dancing with me, cheek to cheek
There's nobody here, it's just you and me
It's where I want to be but I hardly know
This beauty by my side
I'll never forget the way you look tonight

I've never seen you looking so gorgeous as you did tonight
I've never seen you shine so bright, you were amazing
I've never seen so many people want to be there by your side
And when you turned to me and smiled, it took my breath away
And I have never had such a feeling
Such a feeling of complete and utter love, as I do tonight

The lady in red is dancing with me, cheek to cheek
There's nobody here, it's just you and me
It's where I want to be but I hardly know
This beauty by my side
I'll never forget the way you look tonight

I never will forget the way you look tonight
The lady in red, the lady in red
The lady in red, my lady in red
I love you"
94,Tiffany,I Think We're Alone Now,1988,"Children behave
That's what they say when we're together
And watch how you play
They don't understand

And so we're...
Running just as fast as we can
Holdin' on to one another's hand

Tryin' to get away into the night
And then you put your arms around me
And we tumble to the ground
And then you say

I think we're alone now
There doesn't seem to be anyone around
I think we're alone now
The beating of our hearts is the only sound

Look at the way
We gotta hide what we're doin'

Cuz what would they say
If they ever knew
And so we're
Running just as fast as we can

Holdin' on to one another's hand
Tryin' to get away into the night
And then you put your arms around me
And we tumble to the ground

And then you say
I think we're alone now
There doesn't seem to be anyone around

I think we're alone now
The beating of our hearts is the only sound
I think we're alone now
There doesn't seem to be anyone around

I think we're alone now
The beating of our hearts is the only sound
Running just as fast as we can

Holdin' on to one another's hand
Tryin' to get away into the night
And then you put your arms around me
And we tumble to the ground

And then you say
I think we're alone now
There doesn't seem to be anyone around
I think we're alone now
The beating of our hearts is the only sound
I think we're alone now
There doesn't seem to be anyone around
I think we're alone now
The beating of our hearts is the only sound
I think we're alone now
There doesn't seem to be anyone around
I think we're alone now
The beating of our hearts is the only sound

I think we're alone now
There doesn't seem to be anyone around
I think we're alone now
The beating of our hearts is the only sound"
95,Michael Jackson,Thriller,1984,"It's close to midnight and something evil's lurking in the dark
Under the moonlight you see a sight that almost stops your heart
You try to scream but terror takes the sound before you make it
You start to freeze as horror looks you right between the eyes
You're paralyzed

'Cause this is thriller, thriller night
And no one's gonna save you from the beast about to strike
You know it's thriller, thriller a' night
You're fighting for your life inside a killer, thriller tonight

You hear the door slam and realize there's nowhere left to run
You feel the cold hand and wonder if you'll ever see the sun
You close your eyes and hope that this is just imagination, girl
But all the while you hear a creature creepin' up behind
You're out of time

â€~Cause this is thriller, thriller night
There ain't no second chance against the thing with forty eyes girl
Thriller, thriller night
You're fighting for your life inside of killer, thriller tonight

Night creatures call
And the dead start to walk in their masquerade
There's no escapin' the jaws of the alien this time
(They're open wide)
This is the end of your life

They're out to get you, there's demons close to the inn on every side
They will possess you unless you change that number on your dial
Now is the time for you and I to cuddle close together, yeah
All through the night I'll save you from the terror on the screen

I'll make you see that this is thriller, thriller night
Girl, I can thrill you more than any ghoul would ever dare try
Thriller, thriller night
So let me hold you tight and share a killer, diller, chiller
Thriller here tonight

â€~Cause this is thriller, thriller a night
Girl, I can thrill you more than any ghoul would ever dare try
Thriller, thriller night
So let me hold you tight and share a killer, diller

I'm gonna be here tonight

Darkness falls across the land
The midnight hour is close at hand
Creatures crawl in search of blood
To terrorize y'alls neighborhood

And whosoever shall be found
Without the soul for getting down
Must stand and face the hounds of hell
And rot inside a corpse's shell

I'm gonna be here tonight
I'm gonna be here tonight
I'm gonna be here tonight
I'm gonna be here tonight
Oh darlin' thriller night

The foulest stenches in the air
The funk of forty thousand years
And grizzly ghouls from every tomb
Are closing in to seal your doom

And though you fight to stay alive
Your body starts to shiver
For no mere mortal can resist
The evil of the thriller"
96,Ray Parker Jr,Ghostbusters,1984,"If there's something strange in your neighborhood
Who you gonna call?
Ghostbusters
If there's something weird and it don't look good
Who you gonna call?
Ghostbusters

I ain't afraid of no ghost
I ain't afraid of no ghost

If you're seeing things running through your head
Who can you call?
Ghostbusters
An invisible man sleeping in your bed
Oh, who you gonna call?
Ghostbusters

I ain't afraid of no ghost
I ain't afraid of no ghost

Who you gonna call?
Ghostbusters
If you're all alone, pick up the phone
And call
Ghostbusters

I ain't afraid of no ghost
I hear it likes the girls
I ain't afraid of no ghost
Yeah, yeah, yeah, yeah

Who you gonna call?
Ghostbusters
If you've had a dose of a freaky ghost
You'd better call
Ghostbusters

Let me tell you something
Bustin' makes me feel good

I ain't afraid of no ghost
I ain't afraid of no ghost

Don't get caught alone, oh no
Ghostbusters
When it comes through your door
Unless you just want some more
I think you better call
Ghostbusters
Ow

Who you gonna call
Ghostbusters"
97,INXS,Need You Tonight,1988,"Come over here

All you've got is this moment
Twenty first century's yesterday
You can care all you want
Everybody does yea that's okay yea

So slide over here
And give me a moment
Your moves are so raw
I've got to let you know
I've got to let you know
You're one of my kind

I need you tonight
'Cause I'm not sleepin'
There's somethin' about you girl
That makes me sweat

How do you feel?
(I'm lonely)
What do you think?
(Can't take it all)
Whatcha gonna do?
(Gonna live my life)

So slide over here
And give me a moment
Your moves are so raw
I've got to let you know
I've got to let you know
You're one of my kind
Oh

I need you tonight
'Cause I'm not sleepin'
There's somethin' about you girl
That makes me sweat

So how do you feel?
(I'm lonely)
What do you think?
(Can't take it all)
Whatcha gonna do?
(Gonna live my life)

How do you feel?
(I'm lonely)
What do you think?
(Can't take it all)
Whatcha gonna do?
(Gonna live my life)

So slide over here
And give me a moment
Your moves are so raw
I've got to let you know
I've got to let you know

So slide over here
And give me a moment
I've got to let you know
I've got to let you know

You're one of my kind"
98,The B52s,Love Shack,1989,"If you see a faded sign at the side of the road that says
""15 miles to the
Love Shack""
Love Shack, yeah, yeah
I'm headin' down the Atlanta highway
Lookin' for the love getaway
Headed for the love getaway
I got me a car, it's as big as a whale
And we're headin' on down to the Love Shack
I got me a Chrysler, it seats about 20
So hurry up and bring your jukebox money

The love shack is a little old place where we can get together
Love Shack, baby (a-Love Shack, baby)
Love Shack, baby, Love Shack
Love Shack, baby, Love Shack
Love Shack, baby, Love Shack (Love, baby, that's where it's at)
Love Shack, baby, Love Shack (Love, baby, that's where it's at)

Sign says (woo) ""Stay away, fools""
'Cause love rules at the Love Shack
Well, it's set way back in the middle of a field
Just a funky old shack and I gotta get back
Glitter on the mattress
Glitter on the highway
Glitter on the front porch
Glitter on the highway

The Love Shack is a little old place where we can get together
Love Shack, baby (Love Shack, baby)
Love Shack, that's where it's at
Love Shack, that's where it's at

Huggin' and a-kissin'
Dancin' and a-lovin'
Wearin' next to nothin'
'Cause it's hot as an oven
The whole shack shimmies
Yeah, the whole shack shimmies
The whole shack shimmies when everybody's
Movin' around and around and around and around
Everybody's movin', everybody's groovin', baby
Folks linin' up outside just to get down
Everybody's movin', everybody's groovin', baby
Funky little shack
Funky little shack

Hop in my Chrysler, it's as big as a whale and it's about to set sail
I got me a car, like, it seats about 20
So come on and bring your jukebox money

The Love Shack is a little old place where we can get together
Love Shack, baby (a-Love Shack, baby)
Love Shack, baby, Love Shack
Love Shack, baby, Love Shack
Love Shack, baby, Love Shack (Love, baby, that's where it's at, yeah)
Love Shack, baby, Love Shack (Love, baby, that's where it's at)

Bang, bang, bang, on the door, baby
Knock a little louder, baby
Bang, bang, bang, on the door, baby
I can't hear you
Bang, bang, bang, on the door, baby
Knock a little louder, sugar
Bang, bang, bang, on the door, baby
I can't hear you
Bang, bang, bang, on the door, baby (Knock a little louder)
Bang, bang, bang, on the door, baby
Bang, bang (On the door, baby)
Bang, bang (On the door)
Bang, bang (On the door, baby)
Bang, bang
Your what?
Tin roof, rusted

Love Shack, baby, Love Shack
Love Shack, baby, Love Shack (Love, baby, that's where it's at, yeah)
Love Shack, baby, Love Shack (Love, baby, that's where it's at)
Love, baby, Love Shack
Huggin' and a-kissin',
Dancin' and a-lovin'
At the Love Shack"
99,Prince,Batdance,1989,"Prince
Batman
Batdance
Oh, I got a live one here! Ha, ha, ha…"" 


Get the funk up! - Batman 
Get the funk up! - Batman 
Get the funk up! 
""Go, go, go with a smile"" 


Batdance! 
Do it 
Keep bustin' 


(Do it) {Repeat in BG} 
I've seen the future and it will be 
I've seen the future and it will be 
Batman, Batman 
I've seen the future and it will be 
Batman (House, house) 
""And where, and where is the Batman?"" 


(Do it) {repeat} 
Let's do it {x2} 


""Stop the press"" 
""Stop the press, who is that?"" 
""Vicky Vale"" 
""Vicky Vale"" 
""I like..."" Batman, Batman, Batman 
""Oh, bats"" 
""Hi, Bruce Wayne"" 
""I tried 2 avoid all this, but I can't"" 
""I just gotta know - are we gonna try 2 love each other?"" 
""Stop the press, who is that?"" 
""Vicky Vale"" 
""She is great, isn't she?"" 


Ooh yeah, ooh yeah 
I wanna bust that body 
Ooh yeah, ooh yeah 
I wanna bust that body right (""I'd like 2"") 
Ooh yeah, ooh yeah (""But he's out there right now"") 
I wanna bust that body 
Ooh yeah, ooh yeah 
2night 


""Well, Miss Vale"" 
""U ever dance with the devil in the pale moonlight?"" 
""I always ask that of all my prey"" 
""I just like the sound of it"" 


""I've gotta go 2 work"" – Batman 
""I've gotta go 2 work"" – Batman 
(""Work') {Repeat in BG} 
If a man is considered guilty 4 what goes on in his mind 
Then gimme the electric chair 4 all my future crimes – oh! 
Electric chair 


Hey Ducky, let me stick this 7-inch in the computer 
Ha, ha, ha… 


Hey, we got the power 
Oh, we got the soul 
Hey, we got 2 sho'nuff get off 
Make the devil go, go 


""This town needs an enema!"" 


(Let's do it) {sampled in BG} 
""I'm gonna kill U"" - Power 
""I'm not gonna kill U"" - Soul 
""I'm gonna kill U"" - Power 
""I'm not gonna kill U"" - Soul 
""I'm Batman"" - Batman 
Don't stop dancin'! 
""I'm Batman"" - Batman 
Don't stop dancin'! 
Batman {x3} 
Don't stop, don't stop, don't stop dancin'! 
Batman {x2} 
Don't stop dancin'! {x2} 
No, damn it! 
Turn the music back up! 
Oh, son of a bitch! 


""Have U ever heard of the healing power of laughter?"" 


Who's gonna stop 200 balloons? Nobody! 
""Ha, ha, ha…"" {looped} 
""Batman"" - Stop!"
100,Kaoma,Lambada,1989,"Chorando se foi quem um dia so me fez chorar
Chorando se foi quem um dia so me fez chorar

Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar
Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar

A recordacao vai estar com ele aonde for
A recordacao vai estar pra sempre aonde for

Danca sol e mar guardarei no olhar
O amor faz perder encontrar
Lambando estarei ao lembrar que este amor
Por um dia um instante foi rei

A recordacao vai estar com ele aonde for
A recordacao vai estar pra sempre aonde for

Chorando estara ao lembrar de um amor
Que um dia nao soube cuidar

Cancao riso e dor melodia de amor
Um momento que fica no ar

I, I, I
Dancando Lambada"
